,Buurten,Year,Age,Gender,value
479,Westerpark,2014-01-01,>= 75 jaar,Man,81.0
480,Heilaar,2014-01-01,>= 75 jaar,Man,10.0
481,Hazeldonk,2014-01-01,>= 75 jaar,Man,1.0
482,Steenakker,2014-01-01,>= 75 jaar,Man,8.0
483,Effen-Rith,2014-01-01,>= 75 jaar,Man,31.0
484,Liesbos,2014-01-01,>= 75 jaar,Man,23.0
485,Gageldonk,2014-01-01,>= 75 jaar,Man,32.0
486,Kievitsloop,2014-01-01,>= 75 jaar,Man,32.0
487,Kesteren,2014-01-01,>= 75 jaar,Man,19.0
488,Muizenberg,2014-01-01,>= 75 jaar,Man,39.0
489,Heksenwiel,2014-01-01,>= 75 jaar,Man,129.0
490,Overkroeten,2014-01-01,>= 75 jaar,Man,60.0
491,Kroeten,2014-01-01,>= 75 jaar,Man,19.0
492,Emer,2014-01-01,>= 75 jaar,Man,1.0
493,Hagebeemd,2014-01-01,>= 75 jaar,Man,5.0
494,Bavel,2014-01-01,>= 75 jaar,Man,160.0
495,Nieuw Wolfslaar,2014-01-01,>= 75 jaar,Man,65.0
496,Buitengebied Bavel,2014-01-01,>= 75 jaar,Man,9.0
497,Ulvenhout,2014-01-01,>= 75 jaar,Man,230.0
498,Buitengebied Ulvenhout,2014-01-01,>= 75 jaar,Man,7.0
499,Prinsenbeek,2014-01-01,>= 75 jaar,Man,411.0
500,Buitengebied Prinsenbeek,2014-01-01,>= 75 jaar,Man,30.0
501,Teteringen,2014-01-01,>= 75 jaar,Man,329.0
502,Vuchtpolder,2014-01-01,>= 75 jaar,Man,4.0
503,Buitengebied Teteringen,2014-01-01,>= 75 jaar,Man,42.0
504,Valkenberg,2014-01-01,>= 75 jaar,Vrouw,105.0
505,Chassé,2014-01-01,>= 75 jaar,Vrouw,126.0
506,Fellenoord,2014-01-01,>= 75 jaar,Vrouw,32.0
507,Schorsmolen,2014-01-01,>= 75 jaar,Vrouw,230.0
508,Station,2014-01-01,>= 75 jaar,Vrouw,18.0
509,City,2014-01-01,>= 75 jaar,Vrouw,41.0
510,Belcrum,2014-01-01,>= 75 jaar,Vrouw,59.0
511,Doornbos-Linie,2014-01-01,>= 75 jaar,Vrouw,152.0
512,Biesdonk,2014-01-01,>= 75 jaar,Vrouw,303.0
513,Geeren-zuid,2014-01-01,>= 75 jaar,Vrouw,245.0
514,Wisselaar,2014-01-01,>= 75 jaar,Vrouw,161.0
515,Krogten,2014-01-01,>= 75 jaar,Vrouw,3.0
516,Geeren-noord,2014-01-01,>= 75 jaar,Vrouw,199.0
517,Waterdonken,2014-01-01,>= 75 jaar,Vrouw,2.0
518,Brabantpark,2014-01-01,>= 75 jaar,Vrouw,523.0
519,Sportpark,2014-01-01,>= 75 jaar,Vrouw,213.0
520,Zandberg,2014-01-01,>= 75 jaar,Vrouw,110.0
521,Heusdenhout,2014-01-01,>= 75 jaar,Vrouw,398.0
522,Moleneind-oost,2014-01-01,>= 75 jaar,Vrouw,3.0
